error(percentage),method
0.027061249,ARIMA
0.058734411,ARIMA
0.173330858,ARIMA
0.094388691,ARIMA
0.080073838,ARIMA
0.18521716,ARIMA
0.030019191,ARIMA
0.101258746,ARIMA
0.084462392,ARIMA
0.055406266,ARIMA
0.127249375,ARIMA
0.156642645,ARIMA
0.049929116,ARIMA
0.046646067,ARIMA
0.188961058,ARIMA
0.006701063,ARIMA
0.215600503,ARIMA
0.26709031,ARIMA
0.020949814,ARIMA
0.192364478,ARIMA
1.526307134,ARIMA
0.088744589,WMA
0.298941799,WMA
0.004901961,WMA
0.143678161,WMA
0.091358025,WMA
0.293040293,WMA
0.060263653,WMA
0.001862197,WMA
0.080756014,WMA
0.17826087,WMA
0.023474178,WMA
0.204848485,WMA
0.412962963,WMA
0.252465483,WMA
0.071684588,WMA
0.040780142,WMA
0.023679417,WMA
0.028070175,WMA
0.060263653,WMA
0.136507937,WMA
0.18442623,WMA
0.107936508,WMA
0.171075838,WMA
0.195121951,WMA
0.284923928,WMA
0.262557078,WMA
0.202898551,WMA
0.011077543,WMA
0.018518519,WMA
0.007820137,WMA
0.227817746,WMA
0.01320132,WMA
0.096114519,WMA
0.08276644,WMA
0.010822511,WMA
0.107055961,WMA
0.179063361,WMA
0.159021407,WMA
0.027272727,WMA
0.405982906,WMA
0.046594982,WMA
0.362318841,WMA
0.037974684,WMA
0.033057851,WMA
0.128325509,WMA
0.357723577,WMA
0.397932817,WMA
1.705128205,WMA
0.368563686,WMA
0.548484848,WMA
0.091085271,WMA
0.347222222,WMA
0.052039381,WMA
0.22705314,WMA
0.074257426,WMA
0.078431373,WMA
0.141333333,WMA
0.112654321,WMA
0.216091954,WMA
0.069892473,WMA
0.247619048,WMA
0.190730838,WMA
0.118773946,WMA
0.025500911,WMA
0.276595745,WMA
0.061643836,WMA
0.011415525,WMA
0.223404255,WMA
0.016949153,WMA
0.196467991,WMA
0.097928437,WMA
0.451149425,WMA
0.103070175,WMA
0.190751445,WMA
0.057324841,WMA
0.096846847,WMA
0.192513369,WMA
0.069518717,WMA
0.154320988,WMA
0.181089744,WMA
0.124242424,WMA
0.04,WMA
0.240740741,WMA
0.044117647,WMA
0.039215686,WMA
0.085201794,WMA
0.031746032,WMA
0.21780303,WMA
0.189033189,WMA
0.174953959,WMA
0.172942817,WMA
0.227188082,WMA
0.213438735,WMA
0.367265469,WMA
0.29580574,WMA
0.259083728,WMA
0.201257862,WMA
0.031135531,WMA
0.043912176,WMA
2.127272727,WMA
0.152905199,WMA
0.405228758,WMA
0.283246978,WMA
0.248256625,WMA
0.107260726,WMA
0.087986464,WMA
0.096969697,WMA
0.425055928,WMA
0.040740741,WMA
0.12991453,WMA
0.015544041,WMA
0.233545648,WMA
0,WMA
0.122340426,WMA
0.101010101,WMA
0.099787686,WMA
0.03815261,WMA
0.063218391,WMA
0.32010582,WMA
0.306358382,WMA
0.038194444,WMA
0.067001675,WMA
0.086556169,WMA
0.050761421,WMA
0.452020202,WMA
0.141527002,WMA
0.074561404,WMA
0.170103093,WMA
0.178082192,WMA
0.05952381,WMA
0.151399491,WMA
0.074712644,WMA
0.136150235,WMA
0.13648294,WMA
0.133647799,WMA
0.021645022,WMA
0.221014493,WMA
0.067736185,WMA
0.110047847,WMA
0.083333333,WMA
0.081666667,WMA
0.161048689,WMA
0.153729072,WMA
0.053763441,WMA
0.015082956,WMA
0.227188082,WMA
0.032085561,WMA
0.196969697,WMA
0.282608696,WMA
0.001626016,WMA
0.240310078,WMA
1.541666667,WMA
0.062622996,EXP
0.260491831,EXP
0.047139598,EXP
0.200047351,EXP
0.054794472,EXP
0.278563884,EXP
0.114967872,EXP
0.068014842,EXP
0.108697569,EXP
0.202363757,EXP
0.029445221,EXP
0.236857877,EXP
0.346844678,EXP
0.249798941,EXP
0.022086078,EXP
0.000287262,EXP
0.02746996,EXP
0.023613151,EXP
0.060772603,EXP
0.131531546,EXP
0.195945952,EXP
0.048069494,EXP
0.137816386,EXP
0.231851515,EXP
0.240614837,EXP
0.273952356,EXP
0.269556649,EXP
0.098182846,EXP
0.079676202,EXP
0.037022377,EXP
0.203912535,EXP
0.011035783,EXP
0.065423555,EXP
0.072571295,EXP
0.010818246,EXP
0.118007263,EXP
0.19903717,EXP
0.220566502,EXP
0.100189767,EXP
0.480903041,EXP
0.040378695,EXP
0.312481092,EXP
0.017394054,EXP
0.029178493,EXP
0.119574659,EXP
0.376431105,EXP
0.510599617,EXP
2.11410914,EXP
0.130350913,EXP
0.477348096,EXP
0.026210992,EXP
0.410604671,EXP
0.034291446,EXP
0.125296926,EXP
0.088951643,EXP
0.045320742,EXP
0.136031768,EXP
0.078685319,EXP
0.225868916,EXP
0.037294384,EXP
0.202973827,EXP
0.236963913,EXP
0.202046701,EXP
0.046874661,EXP
0.328291003,EXP
0.124277505,EXP
0.062138753,EXP
0.19927591,EXP
0.043683252,EXP
0.146582995,EXP
0.084367141,EXP
0.461495759,EXP
0.060745039,EXP
0.148072965,EXP
